# fe1_exp_029_nat_photoneut_1964Ful.dat                  
#
# Z = 29, A =  0
# No. of entries:   49
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e13.3
# Author:   1964Fu1  S.C.Fultz, R.L.Bramblett, J.T.Caldwell, R.R.Harvey; Phys. Rev., 133, B1149(1964).                                                           
#    E         dE       f1           df1
    10.876     0.000    0.455E-07    0.638E-08
    11.183     0.000    0.605E-07    0.543E-08
    11.490     0.000    0.785E-07    0.755E-08
    11.797     0.000    0.912E-07    0.735E-08
    12.105     0.000    0.100E-06    0.717E-08
    12.412     0.000    0.117E-06    0.699E-08
    12.719     0.000    0.131E-06    0.818E-08
    13.027     0.000    0.158E-06    0.666E-08
    13.334     0.000    0.154E-06    0.650E-08
    13.641     0.000    0.188E-06    0.763E-08
    13.949     0.000    0.196E-06    0.622E-08
    14.256     0.000    0.218E-06    0.608E-08
    14.563     0.000    0.256E-06    0.596E-08
    14.870     0.000    0.303E-06    0.817E-08
    15.178     0.000    0.309E-06    0.800E-08
    15.485     0.000    0.314E-06    0.112E-07
    15.792     0.000    0.336E-06    0.121E-07
    16.100     0.000    0.350E-06    0.119E-07
    16.407     0.000    0.369E-06    0.132E-07
    16.714     0.000    0.355E-06    0.104E-07
    17.022     0.000    0.364E-06    0.112E-07
    17.329     0.000    0.335E-06    0.115E-07
    17.636     0.000    0.319E-06    0.133E-07
    17.943     0.000    0.288E-06    0.116E-07
    18.251     0.000    0.278E-06    0.105E-07
    18.558     0.000    0.266E-06    0.935E-08
    18.865     0.000    0.269E-06    0.920E-08
    19.173     0.000    0.249E-06    0.905E-08
    19.480     0.000    0.250E-06    0.891E-08
    19.787     0.000    0.223E-06    0.877E-08
    20.095     0.000    0.206E-06    0.863E-08
    20.402     0.000    0.198E-06    0.850E-08
    20.709     0.000    0.144E-06    0.838E-08
    21.016     0.000    0.155E-06    0.825E-08
    21.324     0.000    0.164E-06    0.814E-08
    21.631     0.000    0.162E-06    0.802E-08
    21.938     0.000    0.139E-06    0.791E-08
    22.246     0.000    0.140E-06    0.780E-08
    22.553     0.000    0.113E-06    0.769E-08
    22.860     0.000    0.109E-06    0.759E-08
    23.168     0.000    0.118E-06    0.749E-08
    23.475     0.000    0.102E-06    0.739E-08
    23.782     0.000    0.992E-07    0.729E-08
    24.089     0.000    0.828E-07    0.720E-08
    24.397     0.000    0.736E-07    0.711E-08
    24.704     0.000    0.779E-07    0.702E-08
    25.319     0.000    0.514E-07    0.685E-08
    25.933     0.000    0.472E-07    0.669E-08
    26.548     0.000    0.340E-07    0.653E-08
